城市,编号,名称,地区,经纬度
北京市,BV10006791,西单(地铁站),西城区,"116.374072,39.907383"
北京市,BV10013514,回龙观(地铁站),昌平区,"116.336116,40.070800"
北京市,BV10000102,北京西站(地铁站),丰台区,"116.321262,39.894763"
北京市,BV10001595,西直门(地铁站),西城区,"116.355426,39.940474"
北京市,BV10013425,长阳(地铁站),房山区,"116.212692,39.763871"
北京市,BV10003869,天宫院(地铁站),大兴区,"116.319932,39.670342"
北京市,BV10006499,天安门东(地铁站),东城区,"116.401216,39.907780"
北京市,BV10006813,北京站(地铁站),东城区,"116.427287,39.904983"
北京市,BV10013446,天通苑(地铁站),昌平区,"116.412890,40.075248"
北京市,BV10000338,沙河(地铁站),昌平区,"116.288865,40.148278"
北京市,BV10590951,景泰(地铁站),东城区,"116.411026,39.865250"
北京市,BV10006454,北京南站(地铁站),丰台区,"116.379008,39.865012"
北京市,BV10006886,五道口(地铁站),海淀区,"116.337742,39.992894"
北京市,BV10000199,三元桥(地铁站),朝阳区,"116.456997,39.961508"
北京市,BV10007027,西二旗(地铁站),海淀区,"116.306295,40.053034"
北京市,BV10009415,3号航站楼(地铁站),顺义区,"116.615579,40.052544"
北京市,BV10013461,国贸(地铁站),朝阳区,"116.461841,39.909104"
北京市,BV10004138,土桥(地铁站),通州区,"116.686349,39.871926"
北京市,BV10013367,十里河(地铁站),朝阳区,"116.457983,39.866417"
北京市,BV10013454,苹果园(地铁站),石景山区,"116.178647,39.925846"
北京市,BV10013457,五棵松(地铁站),海淀区,"116.273987,39.907456"
北京市,BV10416639,潞城(地铁站),通州区,"116.747434,39.902652"
北京市,BV10013356,望京(地铁站),朝阳区,"116.469409,39.998521"
北京市,BV11640695,金鱼胡同(地铁站),东城区,"116.411188,39.915927"
北京市,BV10006496,王府井(地铁站),东城区,"116.411571,39.908069"
北京市,BV11095929,中国美术馆(地铁站),东城区,"116.410803,39.923705"
北京市,BV10013433,崇文门(地铁站),东城区,"116.417093,39.901063"
北京市,BV10005884,前门(地铁站),东城区,"116.397937,39.900192"
北京市,BV11640688,天桥(地铁站),东城区,"116.398712,39.881920"
北京市,BV10013440,东单(地铁站),东城区,"116.418480,39.908325"
北京市,BV10396213,桥湾(地铁站),东城区,"116.408464,39.892725"
北京市,BV10005941,天安门西(地铁站),西城区,"116.391278,39.907472"
北京市,BV10013383,磁器口(地铁站),东城区,"116.419940,39.893172"
北京市,BV10013381,珠市口(地铁站),东城区,"116.398372,39.891334"
北京市,BV10013441,灯市口(地铁站),东城区,"116.417783,39.917113"
北京市,BV10013434,和平门(地铁站),西城区,"116.384209,39.900098"
北京市,BV10013442,东四(地铁站),东城区,"116.417493,39.924370"
北京市,BV10013432,建国门(地铁站),朝阳区,"116.435806,39.908501"
北京市,BV10013380,虎坊桥(地铁站),西城区,"116.384596,39.889486"
北京市,BV10006633,广渠门内(地铁站),东城区,"116.433877,39.893673"
北京市,BV10013439,天坛东门(地铁站),东城区,"116.420833,39.882558"
北京市,BV11031730,潘家园西(地铁站),朝阳区,"116.450872,39.876233"
北京市,BV11640699,木樨园(地铁站),丰台区,"116.399839,39.859262"
北京市,BV10013415,宣武门(地铁站),西城区,"116.374355,39.899784"
北京市,BV10008400,灵境胡同(地铁站),西城区,"116.373746,39.915912"
北京市,BV11255158,核心区(地铁站),朝阳区,"116.469547,39.909845"
北京市,BV11255155,光华路(地铁站),朝阳区,"116.469555,39.913574"
北京市,BV10004298,朝阳门(地铁站),朝阳区,"116.434584,39.924499"
北京市,BV10013379,菜市口(地铁站),西城区,"116.374425,39.889296"
北京市,BV10013392,南锣鼓巷(地铁站),东城区,"116.404192,39.933848"
北京市,BV10001045,张自忠路(地铁站),东城区,"116.417156,39.933592"
北京市,BV11640692,海户屯(地铁站),丰台区,"116.400301,39.851805"
北京市,BV11031724,左家庄(地铁站),东城区,"116.442117,39.949568"
北京市,BV10013414,西四(地铁站),西城区,"116.373332,39.924206"
北京市,BV10013508,北海北(地铁站),西城区,"116.386829,39.933247"
北京市,BV10013460,永安里(地铁站),朝阳区,"116.450330,39.908472"
北京市,BV10013384,广渠门外(地铁站),东城区,"116.448998,39.893648"
北京市,BV11409822,玉渊潭东门(地铁站),西城区,"116.334531,39.913955"
北京市,BV10013435,长椿街(地铁站),西城区,"116.363355,39.899433"
北京市,BV10881790,太平桥(地铁站),西城区,"116.363245,39.909755"
北京市,BV10013462,什刹海(地铁站),西城区,"116.396219,39.937583"
北京市,BV11317432,北京东站(地铁站),朝阳区,"116.482682,39.902267"
北京市,BV10013416,陶然亭(地铁站),西城区,"116.374383,39.878470"
北京市,BV10001047,东四十条(地铁站),东城区,"116.434133,39.933801"
北京市,BV11409821,红莲南里(地铁站),西城区,"116.336977,39.877629"
北京市,BV10881789,牛街(地铁站),西城区,"116.363468,39.890541"
北京市,BV10013443,北新桥(地铁站),东城区,"116.416884,39.940782"
北京市,BV10013368,永定门外(地铁站),东城区,"116.399369,39.867435"
北京市,BV10013369,陶然桥(地铁站),东城区,"116.387167,39.868791"
北京市,BV10007375,复兴门(地铁站),西城区,"116.356866,39.907242"
北京市,BV10000548,东大桥(地铁站),朝阳区,"116.451657,39.923054"
北京市,BV11315921,慈云寺桥(地铁站),朝阳区,"116.489807,39.915550"
北京市,BV10013413,平安里(地铁站),西城区,"116.372883,39.933949"
北京市,BV10396212,广安门内(地铁站),西城区,"116.358239,39.889418"
北京市,BV10006603,蒲黄榆(地铁站),丰台区,"116.423720,39.865621"
北京市,BV11640689,大红门南(地铁站),丰台区,"116.401045,39.836715"
北京市,BV10000309,南礼士路(地铁站),西城区,"116.352583,39.907234"
北京市,BV10002731,东直门(地铁站),东城区,"116.435842,39.941626"
北京市,BV10013490,金台夕照(地铁站),朝阳区,"116.461743,39.916838"
北京市,BV10001036,阜成门(地铁站),西城区,"116.356009,39.923686"
北京市,BV10701089,工人体育场(地铁站),朝阳区,"116.450366,39.933758"
北京市,BV10013385,双井(地铁站),朝阳区,"116.463738,39.893352"
北京市,BV10001936,安定门(地铁站),东城区,"116.408240,39.949180"
北京市,BV11031729,周家庄(地铁站),朝阳区,"116.476361,39.856706"
北京市,BV10013489,呼家楼(地铁站),朝阳区,"116.461618,39.923337"
北京市,BV10006563,雍和宫(地铁站),东城区,"116.417069,39.949336"
北京市,BV10013431,鼓楼大街(地铁站),西城区,"116.393776,39.948972"
北京市,BV10012561,方庄(地铁站),丰台区,"116.440244,39.865868"
北京市,BV10007162,劲松(地铁站),朝阳区,"116.461325,39.884387"
北京市,BV10013412,新街口(地铁站),西城区,"116.367742,39.940667"
北京市,BV11255159,广渠路(地铁站),朝阳区,"116.504037,39.893106"
北京市,BV10013438,刘家窑(地铁站),丰台区,"116.422119,39.857521"
北京市,BV10013437,车公庄(地铁站),西城区,"116.354357,39.932397"
北京市,BV10000543,潘家园(地铁站),朝阳区,"116.460926,39.875387"
北京市,BV11255157,广渠东路(地铁站),朝阳区,"116.508774,39.887362"
北京市,BV10011994,团结湖(地铁站),朝阳区,"116.461806,39.933747"
北京市,BV10013430,积水潭(地铁站),西城区,"116.373126,39.948653"
北京市,BV10590952,景风门(地铁站),丰台区,"116.365564,39.862731"
北京市,BV10013364,大望路(地铁站),朝阳区,"116.475783,39.908287"
北京市,BV10013459,木樨地(地铁站),西城区,"116.337583,39.907379"
北京市,BV10013463,安德里北街(地铁站),东城区,"116.395145,39.957227"
北京市,BV10006616,和平里北街(地铁站),东城区,"116.418504,39.958734"
北京市,BV10013363,红庙(地铁站),朝阳区,"116.478064,39.915605"
北京市,BV10006224,九龙山(地铁站),朝阳区,"116.478695,39.893222"
北京市,BV10001223,农业展览馆(地铁站),朝阳区,"116.461724,39.941344"
北京市,BV11315918,甘露园(地铁站),朝阳区,"116.521165,39.916879"
北京市,BV10005975,达官营(地铁站),西城区,"116.336455,39.889884"
北京市,BV10000051,车公庄西(地铁站),西城区,"116.344082,39.932466"
北京市,BV11640697,和义(地铁站),丰台区,"116.402073,39.814838"
北京市,BV10007475,平乐园(地铁站),朝阳区,"116.477307,39.885275"
